X,Y
39,84
57,98
34,94
40,80
43,73
47,99
52,95
70,78
21,78
28,91
35,79
80,87
64,89
75,96
30,94
32,81
65,95
47,95
28,74
67,95
45,93
56,87
22,80
49,73
33,96
42,77
70,76
36,97
50,87
52,98
54,101
56,102
65,81
49,75
47,93
48,97
75,85
74,94
46,98
62,77
63,97
76,86
63,90
74,78
35,84
72,76
53,95
56,92
73,79
71,83
58,88
77,102
43,77
54,79
67,82
73,88
36,78
38,82
62,91
53,101
47,86
60,82
74,99
72,88
57,81
50,100
45,101
38,101
48,98
47,74
41,88
41,95
47,75
46,83
69,77
34,90
41,96
71,75
37,95
60,99
54,102
64,95
61,99
34,84
50,87
49,94
71,81
53,79
46,87
43,95
54,99
39,100
59,80
60,99
66,90
40,86
76,85
40,79
71,101
51,76
